"(37, 37, 41)"
"(39, 49, 23)"
"(24, 34, 41)"
"(17, 29, 3)"
"(6, 20, 26)"
"(27, 1, 5)"
"(7, 47, 17)"
"(36, 13, 7)"
"(20, 9, 42)"
"(27, 9, 28)"
"(17, 24, 43)"
"(36, 39, 43)"
"(4, 10, 35)"
"(11, 47, 34)"
"(48, 44, 24)"
"(27, 46, 17)"
"(9, 13, 28)"
"(7, 19, 29)"
"(31, 29, 29)"
"(23, 20, 11)"
"(8, 44, 27)"
"(3, 3, 49)"
"(17, 39, 29)"
"(45, 11, 48)"
"(1, 49, 9)"
"(1, 12, 17)"
"(30, 8, 44)"
"(0, 45, 7)"
"(39, 26, 42)"
"(48, 12, 39)"
"(23, 20, 11)"
"(33, 44, 44)"
"(34, 45, 27)"
"(22, 42, 26)"
"(20, 11, 40)"
"(30, 12, 24)"
"(13, 44, 3)"
"(13, 40, 10)"
"(23, 46, 5)"
"(9, 15, 11)"
"(43, 40, 40)"
"(12, 18, 11)"
"(18, 18, 12)"
"(33, 6, 32)"
"(29, 16, 26)"
"(8, 44, 43)"
"(30, 37, 9)"
"(23, 40, 2)"
"(11, 26, 17)"
"(16, 46, 1)"
"(29, 17, 9)"
"(47, 42, 16)"
"(8, 14, 30)"
"(36, 29, 14)"
"(9, 49, 27)"
"(11, 35, 0)"
"(4, 6, 7)"
"(46, 25, 11)"
"(25, 7, 34)"
"(6, 17, 22)"
"(17, 48, 28)"
"(42, 24, 25)"
"(29, 23, 1)"
"(11, 6, 2)"
"(8, 4, 4)"
"(18, 0, 1)"
"(46, 45, 41)"
"(18, 6, 6)"
"(47, 36, 27)"
"(44, 37, 2)"
"(23, 4, 24)"
"(26, 16, 10)"
"(47, 28, 25)"
"(25, 39, 19)"
"(19, 9, 23)"
"(39, 32, 27)"
"(49, 36, 7)"
"(9, 6, 12)"
"(16, 8, 3)"
"(6, 34, 23)"
"(15, 39, 11)"
"(46, 9, 17)"
"(3, 18, 28)"
"(49, 33, 16)"
"(43, 33, 48)"
"(18, 21, 41)"
"(12, 11, 1)"
"(22, 9, 29)"
"(6, 4, 30)"
"(31, 22, 37)"
"(45, 13, 37)"
"(38, 43, 37)"
"(9, 1, 26)"
"(47, 3, 48)"
"(26, 45, 23)"
"(15, 18, 48)"
"(40, 42, 8)"
"(20, 48, 21)"
"(5, 46, 16)"
"(16, 17, 26)"
