"(15, 17, 18)"
"(22, 15, 9)"
"(24, 10, 34)"
"(17, 2, 26)"
"(23, 17, 10)"
"(13, 27, 17)"
"(5, 20, 30)"
"(21, 27, 5)"
"(1, 16, 22)"
"(13, 20, 6)"
"(24, 7, 16)"
"(11, 3, 18)"
"(0, 28, 26)"
"(1, 25, 31)"
"(23, 23, 1)"
"(24, 3, 7)"
"(2, 7, 29)"
"(32, 7, 1)"
"(25, 15, 31)"
"(24, 27, 1)"
"(35, 27, 25)"
"(20, 20, 4)"
"(8, 24, 18)"
"(28, 24, 23)"
"(21, 17, 8)"
"(29, 16, 10)"
"(9, 29, 35)"
"(5, 21, 10)"
"(19, 12, 7)"
"(21, 33, 23)"
"(20, 19, 28)"
"(10, 14, 33)"
"(6, 9, 13)"
"(22, 7, 19)"
"(28, 22, 34)"
"(30, 0, 2)"
"(22, 19, 18)"
"(20, 32, 24)"
"(28, 8, 9)"
"(7, 19, 30)"
"(19, 35, 20)"
"(17, 29, 29)"
"(34, 7, 9)"
"(23, 31, 13)"
"(20, 8, 34)"
"(18, 32, 6)"
"(3, 0, 4)"
"(27, 29, 15)"
"(3, 15, 2)"
"(28, 33, 20)"
"(13, 26, 21)"
"(0, 9, 23)"
"(35, 12, 21)"
"(27, 31, 33)"
"(25, 15, 15)"
"(21, 10, 12)"
"(0, 4, 16)"
"(2, 30, 13)"
"(28, 27, 30)"
"(32, 34, 31)"
"(19, 2, 28)"
"(6, 26, 12)"
"(3, 31, 19)"
"(3, 35, 25)"
"(8, 25, 22)"
"(17, 6, 26)"
"(1, 0, 18)"
"(28, 5, 19)"
"(13, 13, 10)"
"(1, 14, 1)"
"(17, 16, 30)"
"(22, 21, 5)"
"(1, 7, 26)"
"(20, 17, 5)"
"(14, 4, 31)"
"(4, 19, 27)"
"(24, 14, 25)"
"(17, 29, 30)"
"(12, 1, 26)"
"(2, 29, 3)"
"(6, 22, 34)"
"(27, 30, 5)"
"(6, 21, 25)"
"(25, 25, 27)"
"(24, 25, 14)"
"(6, 34, 33)"
"(0, 26, 9)"
"(1, 6, 22)"
"(18, 16, 28)"
"(32, 1, 30)"
"(17, 11, 19)"
"(1, 29, 29)"
"(6, 24, 19)"
"(0, 32, 27)"
"(30, 19, 1)"
"(35, 30, 29)"
"(4, 12, 4)"
"(5, 24, 3)"
"(32, 15, 29)"
"(10, 19, 11)"
