"(47, 36, 51, 30, 47)"
"(17, 30, 9, 54, 36)"
"(40, 28, 26, 44, 52)"
"(11, 27, 9, 41, 53)"
"(51, 15, 3, 47, 40)"
"(20, 14, 45, 0, 40)"
"(9, 10, 3, 34, 30)"
"(25, 19, 40, 52, 36)"
"(27, 3, 49, 38, 17)"
"(51, 54, 15, 41, 41)"
"(44, 51, 51, 16, 19)"
"(38, 45, 22, 43, 53)"
"(1, 34, 23, 25, 17)"
"(20, 19, 43, 21, 36)"
"(25, 18, 45, 5, 27)"
"(26, 24, 6, 18, 10)"
"(9, 38, 28, 22, 46)"
"(20, 36, 16, 30, 24)"
"(38, 27, 33, 14, 30)"
"(40, 45, 6, 2, 53)"
"(10, 40, 30, 0, 14)"
"(34, 28, 42, 13, 12)"
"(45, 22, 35, 25, 20)"
"(33, 10, 47, 13, 7)"
"(3, 37, 35, 28, 28)"
"(16, 46, 46, 47, 49)"
"(5, 25, 30, 15, 0)"
"(29, 31, 22, 30, 2)"
"(13, 0, 13, 24, 43)"
"(34, 38, 23, 29, 53)"
"(1, 28, 21, 30, 11)"
"(50, 13, 53, 36, 26)"
"(0, 34, 8, 22, 51)"
"(36, 10, 47, 38, 42)"
"(42, 25, 48, 32, 28)"
"(2, 1, 52, 16, 37)"
"(46, 34, 19, 40, 48)"
"(10, 12, 7, 8, 27)"
"(28, 9, 31, 20, 22)"
"(31, 50, 0, 39, 30)"
"(54, 31, 20, 10, 44)"
"(46, 34, 10, 20, 9)"
"(30, 10, 21, 53, 54)"
"(21, 12, 42, 6, 53)"
"(32, 23, 6, 17, 38)"
"(23, 22, 1, 46, 31)"
"(43, 10, 17, 14, 46)"
"(41, 54, 35, 49, 6)"
"(41, 40, 34, 35, 43)"
"(19, 34, 32, 23, 19)"
"(22, 42, 8, 1, 38)"
"(11, 44, 19, 1, 39)"
"(18, 53, 23, 49, 2)"
"(52, 5, 17, 29, 32)"
"(15, 1, 15, 49, 37)"
"(32, 54, 43, 23, 29)"
"(11, 27, 31, 7, 38)"
"(54, 20, 50, 21, 1)"
"(31, 22, 25, 47, 27)"
"(33, 19, 23, 46, 51)"
"(21, 36, 22, 15, 25)"
"(22, 32, 12, 1, 49)"
"(13, 22, 5, 10, 44)"
"(8, 35, 54, 18, 36)"
"(9, 27, 35, 6, 1)"
"(42, 22, 54, 5, 6)"
"(19, 9, 54, 12, 29)"
"(44, 30, 31, 21, 15)"
"(53, 37, 27, 3, 2)"
"(6, 28, 31, 5, 20)"
"(29, 49, 21, 4, 42)"
"(29, 50, 24, 12, 38)"
"(14, 19, 30, 18, 7)"
"(23, 19, 42, 39, 10)"
"(25, 45, 51, 21, 50)"
"(33, 17, 44, 2, 52)"
"(14, 41, 6, 24, 18)"
"(25, 49, 42, 13, 35)"
"(13, 16, 15, 2, 38)"
"(45, 32, 37, 51, 15)"
"(30, 35, 27, 3, 21)"
"(50, 16, 2, 50, 52)"
"(42, 30, 32, 49, 6)"
"(30, 39, 48, 41, 18)"
"(45, 16, 21, 8, 17)"
"(50, 9, 54, 23, 46)"
"(54, 14, 37, 6, 31)"
"(20, 42, 52, 7, 44)"
"(54, 54, 26, 54, 14)"
"(29, 29, 32, 43, 46)"
"(25, 17, 35, 3, 1)"
"(3, 54, 47, 21, 49)"
"(30, 12, 5, 40, 9)"
"(48, 52, 32, 46, 38)"
"(9, 12, 52, 19, 46)"
"(32, 9, 19, 5, 31)"
"(19, 18, 50, 48, 37)"
"(2, 11, 14, 52, 48)"
"(15, 46, 22, 13, 36)"
"(43, 17, 8, 42, 17)"
