"(1, 34, 20, 11, 28)"
"(19, 47, 34, 7, 6)"
"(30, 35, 39, 26, 16)"
"(33, 42, 15, 46, 8)"
"(29, 1, 6, 34, 30)"
"(27, 40, 34, 36, 10)"
"(5, 24, 7, 43, 51)"
"(25, 48, 25, 23, 14)"
"(31, 52, 29, 3, 9)"
"(28, 44, 28, 44, 2)"
"(0, 22, 14, 37, 36)"
"(18, 8, 53, 9, 55)"
"(30, 51, 5, 44, 48)"
"(32, 43, 32, 11, 16)"
"(14, 31, 5, 44, 31)"
"(37, 13, 27, 17, 20)"
"(29, 22, 15, 22, 9)"
"(27, 0, 46, 5, 19)"
"(18, 25, 5, 1, 15)"
"(16, 43, 18, 49, 14)"
"(45, 22, 36, 18, 26)"
"(32, 6, 17, 50, 10)"
"(55, 5, 14, 31, 44)"
"(44, 21, 47, 22, 22)"
"(33, 35, 23, 32, 27)"
"(21, 33, 38, 45, 53)"
"(18, 6, 46, 10, 45)"
"(33, 43, 18, 13, 47)"
"(43, 46, 44, 43, 11)"
"(21, 40, 37, 22, 53)"
"(3, 55, 24, 37, 48)"
"(18, 56, 30, 24, 51)"
"(42, 24, 22, 25, 48)"
"(53, 20, 10, 36, 18)"
"(32, 29, 33, 50, 31)"
"(42, 14, 44, 11, 41)"
"(35, 33, 47, 25, 45)"
"(36, 5, 27, 37, 42)"
"(15, 10, 56, 42, 30)"
"(48, 46, 51, 35, 17)"
"(56, 2, 8, 4, 26)"
"(8, 23, 15, 10, 40)"
"(49, 1, 28, 5, 33)"
"(54, 15, 23, 42, 45)"
"(17, 19, 22, 9, 19)"
"(49, 12, 23, 11, 37)"
"(12, 49, 52, 11, 38)"
"(53, 28, 52, 38, 4)"
"(10, 27, 40, 21, 46)"
"(32, 40, 35, 23, 38)"
"(52, 51, 2, 16, 5)"
"(43, 23, 9, 23, 5)"
"(42, 28, 53, 7, 49)"
"(38, 1, 46, 29, 5)"
"(20, 36, 24, 30, 28)"
"(31, 39, 14, 16, 10)"
"(45, 0, 50, 6, 14)"
"(35, 15, 27, 54, 7)"
"(25, 39, 19, 3, 53)"
"(25, 43, 13, 43, 4)"
"(20, 11, 30, 49, 42)"
"(36, 14, 12, 39, 35)"
"(45, 36, 50, 53, 0)"
"(54, 9, 20, 40, 41)"
"(48, 9, 17, 32, 26)"
"(42, 13, 4, 48, 55)"
"(0, 51, 53, 31, 41)"
"(25, 19, 31, 22, 46)"
"(32, 53, 41, 51, 45)"
"(55, 34, 55, 26, 50)"
"(29, 3, 27, 53, 43)"
"(35, 15, 23, 22, 7)"
"(2, 23, 47, 4, 10)"
"(32, 15, 11, 55, 52)"
"(12, 34, 28, 6, 41)"
"(16, 8, 34, 28, 3)"
"(32, 31, 46, 56, 9)"
"(9, 29, 24, 13, 32)"
"(9, 42, 3, 53, 40)"
"(1, 24, 17, 12, 20)"
"(50, 41, 34, 45, 9)"
"(54, 4, 4, 1, 21)"
"(55, 39, 35, 44, 44)"
"(5, 14, 9, 41, 3)"
"(43, 40, 49, 27, 31)"
"(5, 6, 8, 2, 0)"
"(3, 12, 18, 39, 24)"
"(54, 12, 17, 31, 43)"
"(8, 48, 52, 35, 9)"
"(22, 53, 25, 25, 28)"
"(53, 35, 10, 41, 8)"
"(17, 42, 37, 35, 38)"
"(50, 5, 26, 30, 32)"
"(0, 27, 13, 5, 54)"
"(12, 56, 10, 47, 0)"
"(17, 12, 23, 11, 35)"
"(10, 28, 47, 4, 24)"
"(47, 3, 41, 50, 44)"
"(31, 36, 30, 15, 10)"
"(5, 2, 31, 46, 50)"
