"(134, 63, 51, 135, 26)"
"(137, 13, 78, 166, 116)"
"(97, 52, 86, 156, 134)"
"(40, 82, 67, 148, 12)"
"(167, 95, 63, 44, 164)"
"(103, 151, 155, 125, 56)"
"(21, 97, 45, 67, 17)"
"(94, 102, 143, 84, 126)"
"(108, 107, 160, 97, 14)"
"(53, 14, 126, 0, 33)"
"(52, 148, 25, 110, 18)"
"(10, 27, 105, 86, 21)"
"(128, 49, 118, 32, 56)"
"(5, 151, 81, 82, 164)"
"(8, 149, 165, 167, 149)"
"(63, 127, 112, 57, 97)"
"(151, 75, 107, 15, 104)"
"(38, 151, 146, 125, 94)"
"(135, 54, 6, 154, 87)"
"(161, 41, 50, 31, 9)"
"(90, 131, 100, 106, 70)"
"(48, 55, 55, 88, 152)"
"(127, 61, 40, 166, 77)"
"(168, 105, 92, 98, 77)"
"(149, 128, 151, 157, 120)"
"(141, 7, 91, 82, 54)"
"(33, 49, 57, 93, 165)"
"(35, 30, 111, 24, 56)"
"(15, 84, 169, 98, 110)"
"(139, 88, 7, 68, 93)"
"(27, 79, 116, 78, 6)"
"(115, 73, 128, 2, 55)"
"(10, 49, 134, 96, 121)"
"(134, 114, 139, 35, 47)"
"(87, 93, 168, 72, 133)"
"(16, 132, 44, 20, 118)"
"(165, 120, 58, 144, 167)"
"(40, 96, 42, 94, 56)"
"(108, 2, 11, 94, 146)"
"(85, 23, 135, 16, 12)"
"(122, 15, 64, 32, 44)"
"(153, 82, 31, 19, 109)"
"(6, 136, 4, 77, 5)"
"(64, 145, 56, 156, 89)"
"(71, 100, 147, 90, 51)"
"(29, 38, 159, 84, 101)"
"(111, 140, 24, 162, 150)"
"(42, 29, 79, 157, 101)"
"(18, 160, 2, 42, 67)"
"(165, 82, 112, 46, 108)"
"(117, 122, 67, 79, 59)"
"(39, 110, 19, 145, 132)"
"(41, 47, 94, 11, 92)"
"(62, 136, 136, 81, 99)"
"(127, 110, 100, 66, 79)"
"(88, 53, 97, 54, 14)"
"(150, 118, 162, 49, 77)"
"(21, 3, 17, 100, 166)"
"(96, 118, 57, 50, 163)"
"(45, 69, 155, 0, 27)"
"(67, 28, 149, 80, 115)"
"(127, 8, 58, 118, 19)"
"(119, 42, 81, 60, 28)"
"(73, 66, 65, 58, 107)"
"(0, 55, 106, 150, 34)"
"(0, 138, 68, 169, 127)"
"(127, 68, 91, 11, 29)"
"(146, 103, 22, 73, 58)"
"(151, 11, 117, 57, 84)"
"(3, 142, 30, 2, 32)"
"(136, 18, 9, 92, 88)"
"(80, 140, 126, 115, 15)"
"(138, 165, 164, 4, 50)"
"(45, 22, 45, 64, 166)"
"(89, 89, 51, 154, 136)"
"(166, 108, 165, 63, 141)"
"(26, 45, 48, 2, 25)"
"(19, 75, 158, 86, 38)"
"(106, 19, 134, 109, 0)"
"(135, 84, 49, 114, 31)"
"(86, 126, 53, 11, 117)"
"(152, 158, 71, 46, 80)"
"(3, 164, 120, 163, 113)"
"(117, 143, 93, 138, 44)"
"(124, 128, 20, 17, 44)"
"(10, 116, 95, 120, 153)"
"(12, 130, 161, 29, 61)"
"(98, 152, 8, 156, 147)"
"(169, 10, 62, 2, 57)"
"(168, 2, 162, 99, 161)"
"(80, 153, 130, 55, 3)"
"(29, 150, 163, 8, 163)"
"(156, 44, 128, 94, 46)"
"(137, 4, 16, 35, 81)"
"(144, 84, 54, 160, 89)"
"(66, 149, 9, 84, 25)"
"(75, 2, 118, 150, 10)"
"(125, 155, 84, 155, 74)"
"(106, 17, 83, 12, 99)"
"(78, 147, 48, 53, 72)"
