"(42, 34)"
"(30, 36)"
"(87, 87)"
"(113, 2)"
"(43, 113)"
"(108, 52)"
"(94, 90)"
"(21, 99)"
"(40, 68)"
"(109, 41)"
"(7, 39)"
"(64, 16)"
"(0, 59)"
"(2, 10)"
"(69, 40)"
"(25, 27)"
"(114, 107)"
"(28, 75)"
"(102, 33)"
"(31, 111)"
"(30, 24)"
"(104, 55)"
"(69, 60)"
"(113, 95)"
"(80, 65)"
"(62, 72)"
"(101, 44)"
"(49, 85)"
"(7, 95)"
"(57, 34)"
"(10, 106)"
"(104, 79)"
"(107, 95)"
"(15, 21)"
"(28, 63)"
"(9, 55)"
"(23, 66)"
"(88, 6)"
"(99, 36)"
"(24, 87)"
"(69, 90)"
"(93, 9)"
"(98, 108)"
"(113, 105)"
"(23, 8)"
"(5, 20)"
"(111, 30)"
"(11, 33)"
"(65, 111)"
"(44, 111)"
"(86, 95)"
"(3, 103)"
"(72, 63)"
"(7, 98)"
"(71, 41)"
"(1, 48)"
"(17, 53)"
"(58, 82)"
"(64, 52)"
"(71, 55)"
"(50, 101)"
"(62, 66)"
"(113, 108)"
"(9, 99)"
"(101, 39)"
"(84, 110)"
"(50, 40)"
"(70, 99)"
"(9, 100)"
"(50, 109)"
"(105, 51)"
"(99, 108)"
"(12, 3)"
"(46, 9)"
"(66, 33)"
"(68, 18)"
"(75, 64)"
"(40, 15)"
"(89, 63)"
"(50, 0)"
"(18, 12)"
"(65, 106)"
"(114, 105)"
"(95, 98)"
"(14, 47)"
"(83, 20)"
"(15, 104)"
"(58, 70)"
"(64, 109)"
"(37, 107)"
"(82, 83)"
"(34, 114)"
"(55, 3)"
"(109, 105)"
"(15, 80)"
"(24, 97)"
"(68, 29)"
"(22, 109)"
"(55, 21)"
"(87, 42)"
