"(15, 3, 32, 10)"
"(11, 37, 12, 36)"
"(21, 36, 27, 27)"
"(29, 20, 11, 42)"
"(14, 27, 26, 8)"
"(14, 22, 28, 0)"
"(42, 12, 27, 32)"
"(13, 28, 18, 38)"
"(43, 24, 25, 4)"
"(43, 19, 5, 30)"
"(40, 32, 25, 0)"
"(41, 11, 30, 35)"
"(3, 25, 19, 34)"
"(40, 14, 35, 43)"
"(35, 34, 0, 39)"
"(2, 17, 35, 24)"
"(38, 20, 10, 40)"
"(21, 29, 31, 20)"
"(16, 18, 33, 40)"
"(37, 23, 41, 28)"
"(38, 36, 19, 36)"
"(39, 12, 32, 9)"
"(6, 18, 13, 12)"
"(38, 5, 12, 4)"
"(2, 38, 30, 15)"
"(4, 1, 24, 1)"
"(24, 24, 29, 8)"
"(1, 43, 2, 37)"
"(19, 39, 41, 39)"
"(18, 31, 29, 13)"
"(31, 15, 26, 6)"
"(25, 18, 29, 30)"
"(27, 6, 26, 28)"
"(19, 28, 26, 34)"
"(0, 7, 30, 34)"
"(13, 1, 42, 20)"
"(8, 23, 1, 42)"
"(28, 28, 6, 27)"
"(0, 21, 24, 43)"
"(7, 11, 25, 2)"
"(26, 41, 40, 7)"
"(37, 27, 30, 8)"
"(18, 19, 31, 16)"
"(27, 31, 35, 15)"
"(35, 37, 43, 28)"
"(41, 3, 34, 11)"
"(25, 7, 13, 38)"
"(6, 38, 37, 35)"
"(6, 8, 18, 42)"
"(29, 42, 31, 25)"
"(18, 1, 42, 12)"
"(21, 30, 11, 4)"
"(31, 36, 10, 11)"
"(33, 25, 37, 9)"
"(8, 27, 27, 10)"
"(28, 23, 14, 40)"
"(5, 8, 6, 31)"
"(13, 33, 26, 28)"
"(21, 35, 22, 26)"
"(23, 25, 10, 6)"
"(13, 20, 0, 8)"
"(39, 39, 39, 40)"
"(33, 23, 5, 19)"
"(41, 28, 28, 22)"
"(19, 23, 0, 0)"
"(7, 27, 20, 31)"
"(27, 5, 6, 27)"
"(1, 0, 0, 7)"
"(38, 12, 15, 10)"
"(2, 20, 41, 12)"
"(40, 22, 12, 29)"
"(35, 33, 0, 40)"
"(23, 36, 23, 17)"
"(32, 17, 40, 6)"
"(25, 9, 15, 22)"
"(7, 20, 17, 43)"
"(33, 1, 31, 23)"
"(36, 29, 22, 4)"
"(3, 24, 21, 9)"
"(30, 32, 25, 28)"
"(27, 41, 39, 19)"
"(20, 12, 39, 41)"
"(36, 42, 11, 28)"
"(11, 42, 26, 40)"
"(43, 5, 29, 24)"
"(0, 40, 29, 42)"
"(25, 38, 21, 11)"
"(28, 20, 38, 11)"
"(6, 18, 13, 17)"
"(40, 37, 34, 38)"
"(18, 30, 19, 3)"
"(17, 11, 5, 23)"
"(3, 7, 14, 40)"
"(26, 9, 1, 29)"
"(26, 14, 28, 0)"
"(43, 5, 42, 27)"
"(22, 1, 24, 11)"
"(31, 32, 23, 8)"
"(8, 8, 33, 22)"
"(21, 9, 36, 21)"
