"(10, 11, 26, 28)"
"(43, 1, 28, 1)"
"(28, 41, 18, 13)"
"(31, 38, 44, 32)"
"(44, 32, 24, 9)"
"(14, 34, 29, 28)"
"(23, 21, 44, 42)"
"(36, 22, 41, 39)"
"(40, 14, 26, 43)"
"(28, 40, 49, 21)"
"(27, 4, 14, 0)"
"(28, 8, 38, 23)"
"(15, 42, 32, 11)"
"(30, 30, 6, 11)"
"(8, 42, 0, 14)"
"(40, 8, 14, 31)"
"(31, 16, 35, 31)"
"(38, 13, 43, 1)"
"(49, 10, 37, 39)"
"(30, 5, 29, 17)"
"(11, 4, 16, 35)"
"(44, 5, 13, 37)"
"(23, 16, 38, 44)"
"(30, 21, 47, 38)"
"(9, 49, 45, 46)"
"(43, 10, 38, 36)"
"(34, 47, 24, 47)"
"(40, 6, 7, 15)"
"(37, 17, 5, 5)"
"(6, 39, 11, 12)"
"(48, 46, 44, 10)"
"(11, 19, 36, 26)"
"(47, 44, 39, 13)"
"(3, 40, 7, 33)"
"(8, 36, 45, 14)"
"(13, 31, 40, 1)"
"(46, 49, 9, 15)"
"(36, 19, 27, 47)"
"(35, 40, 42, 47)"
"(40, 3, 18, 46)"
"(42, 25, 5, 43)"
"(42, 31, 10, 14)"
"(47, 44, 9, 8)"
"(9, 10, 14, 44)"
"(9, 15, 17, 33)"
"(44, 34, 0, 48)"
"(2, 18, 16, 26)"
"(29, 39, 24, 40)"
"(23, 28, 14, 30)"
"(44, 7, 18, 47)"
"(35, 36, 42, 37)"
"(30, 44, 15, 42)"
"(28, 28, 27, 24)"
"(34, 27, 3, 37)"
"(37, 27, 4, 14)"
"(17, 43, 46, 41)"
"(13, 17, 35, 4)"
"(27, 49, 36, 43)"
"(33, 31, 27, 29)"
"(40, 9, 2, 38)"
"(12, 12, 47, 24)"
"(39, 49, 21, 0)"
"(7, 11, 28, 13)"
"(17, 16, 37, 2)"
"(9, 10, 7, 35)"
"(42, 37, 1, 15)"
"(9, 35, 26, 46)"
"(30, 19, 19, 47)"
"(27, 5, 31, 15)"
"(20, 35, 7, 18)"
"(45, 29, 45, 11)"
"(3, 32, 39, 31)"
"(39, 25, 47, 11)"
"(0, 44, 28, 5)"
"(12, 13, 43, 6)"
"(18, 4, 30, 3)"
"(33, 48, 3, 49)"
"(15, 21, 0, 47)"
"(14, 6, 26, 0)"
"(38, 22, 46, 46)"
"(15, 15, 49, 21)"
"(41, 28, 3, 4)"
"(49, 39, 25, 48)"
"(38, 37, 1, 41)"
"(28, 25, 41, 20)"
"(15, 3, 38, 43)"
"(33, 15, 9, 30)"
"(23, 5, 13, 44)"
"(22, 3, 5, 40)"
"(6, 49, 39, 28)"
"(15, 44, 45, 33)"
"(8, 4, 31, 18)"
"(4, 0, 32, 47)"
"(15, 18, 40, 11)"
"(34, 7, 8, 34)"
"(40, 37, 27, 26)"
"(27, 5, 46, 3)"
"(3, 48, 49, 37)"
"(43, 27, 39, 40)"
"(5, 6, 3, 35)"
