"(6, 38, 24, 23)"
"(16, 41, 10, 20)"
"(22, 4, 20, 12)"
"(7, 27, 11, 0)"
"(35, 28, 42, 43)"
"(16, 15, 38, 36)"
"(44, 21, 8, 40)"
"(16, 13, 38, 29)"
"(24, 13, 19, 9)"
"(25, 30, 16, 5)"
"(1, 38, 30, 18)"
"(34, 39, 7, 35)"
"(32, 1, 9, 28)"
"(32, 26, 45, 3)"
"(22, 23, 16, 35)"
"(35, 42, 29, 11)"
"(22, 19, 8, 7)"
"(41, 13, 37, 9)"
"(2, 11, 31, 38)"
"(15, 39, 22, 10)"
"(44, 35, 0, 14)"
"(5, 18, 35, 31)"
"(29, 14, 12, 19)"
"(40, 46, 27, 34)"
"(23, 6, 24, 35)"
"(24, 17, 21, 10)"
"(26, 45, 37, 9)"
"(46, 43, 4, 5)"
"(5, 42, 6, 9)"
"(19, 44, 34, 18)"
"(11, 45, 28, 41)"
"(11, 35, 33, 31)"
"(28, 8, 43, 42)"
"(10, 37, 16, 27)"
"(44, 39, 44, 9)"
"(39, 28, 41, 45)"
"(14, 23, 46, 35)"
"(43, 36, 36, 38)"
"(46, 16, 22, 2)"
"(4, 17, 41, 25)"
"(31, 0, 2, 45)"
"(1, 24, 15, 23)"
"(32, 27, 4, 24)"
"(22, 42, 23, 17)"
"(14, 2, 14, 35)"
"(28, 7, 38, 0)"
"(45, 8, 24, 38)"
"(39, 0, 39, 22)"
"(8, 40, 21, 17)"
"(10, 31, 10, 1)"
"(26, 21, 31, 5)"
"(43, 3, 18, 4)"
"(15, 38, 41, 37)"
"(11, 24, 30, 36)"
"(1, 29, 35, 19)"
"(43, 14, 17, 42)"
"(32, 27, 45, 6)"
"(37, 35, 38, 34)"
"(25, 11, 12, 5)"
"(16, 10, 38, 41)"
"(11, 36, 25, 7)"
"(22, 14, 34, 9)"
"(3, 8, 6, 32)"
"(2, 30, 25, 40)"
"(17, 34, 32, 30)"
"(32, 29, 2, 11)"
"(24, 40, 46, 22)"
"(27, 18, 16, 25)"
"(31, 19, 34, 1)"
"(22, 23, 13, 28)"
"(38, 15, 18, 18)"
"(30, 12, 11, 18)"
"(44, 8, 4, 21)"
"(19, 7, 31, 21)"
"(24, 8, 14, 23)"
"(2, 29, 27, 42)"
"(22, 10, 38, 19)"
"(0, 18, 22, 16)"
"(37, 38, 13, 3)"
"(11, 30, 1, 44)"
"(11, 38, 16, 46)"
"(22, 6, 1, 12)"
"(21, 41, 12, 15)"
"(21, 21, 4, 35)"
"(31, 12, 10, 7)"
"(21, 44, 13, 35)"
"(5, 42, 32, 5)"
"(28, 32, 4, 39)"
"(38, 28, 24, 23)"
"(31, 35, 17, 7)"
"(20, 4, 14, 0)"
"(39, 18, 10, 40)"
"(3, 27, 9, 37)"
"(17, 16, 17, 6)"
"(20, 16, 43, 13)"
"(24, 36, 41, 12)"
"(24, 39, 44, 45)"
"(29, 5, 24, 3)"
"(0, 11, 10, 20)"
"(25, 35, 35, 10)"
