"(7, 38, 4)"
"(31, 37, 26)"
"(26, 0, 31)"
"(42, 37, 22)"
"(2, 38, 42)"
"(29, 42, 36)"
"(20, 4, 22)"
"(13, 11, 31)"
"(0, 40, 20)"
"(31, 29, 37)"
"(5, 5, 38)"
"(2, 3, 23)"
"(42, 19, 39)"
"(9, 2, 36)"
"(16, 26, 17)"
"(6, 38, 32)"
"(40, 15, 27)"
"(9, 31, 11)"
"(8, 8, 37)"
"(38, 20, 7)"
"(0, 5, 2)"
"(42, 14, 27)"
"(12, 30, 2)"
"(3, 15, 15)"
"(11, 37, 25)"
"(21, 27, 18)"
"(39, 12, 40)"
"(15, 13, 2)"
"(23, 37, 1)"
"(34, 33, 32)"
"(37, 29, 22)"
"(2, 13, 29)"
"(31, 19, 25)"
"(35, 7, 0)"
"(12, 35, 10)"
"(18, 22, 20)"
"(35, 22, 1)"
"(34, 27, 32)"
"(34, 29, 39)"
"(34, 1, 25)"
"(16, 28, 40)"
"(24, 36, 14)"
"(16, 0, 15)"
"(31, 2, 42)"
"(2, 8, 17)"
"(0, 37, 31)"
"(13, 41, 20)"
"(24, 16, 41)"
"(3, 1, 19)"
"(25, 6, 0)"
"(6, 31, 15)"
"(10, 11, 9)"
"(23, 23, 7)"
"(16, 10, 19)"
"(38, 41, 0)"
"(18, 16, 11)"
"(22, 41, 3)"
"(22, 12, 16)"
"(41, 41, 15)"
"(14, 31, 37)"
"(9, 18, 40)"
"(12, 24, 3)"
"(1, 42, 21)"
"(33, 34, 11)"
"(35, 25, 34)"
"(42, 24, 29)"
"(2, 28, 41)"
"(6, 15, 3)"
"(41, 0, 6)"
"(40, 27, 39)"
"(30, 36, 0)"
"(9, 29, 19)"
"(37, 14, 42)"
"(11, 32, 7)"
"(16, 13, 24)"
"(20, 20, 11)"
"(18, 14, 37)"
"(11, 35, 41)"
"(16, 33, 16)"
"(10, 42, 15)"
"(14, 24, 23)"
"(21, 27, 36)"
"(2, 36, 32)"
"(0, 2, 38)"
"(40, 37, 27)"
"(32, 16, 42)"
"(2, 41, 13)"
"(2, 14, 16)"
"(8, 34, 6)"
"(20, 1, 2)"
"(30, 39, 4)"
"(22, 30, 11)"
"(24, 38, 41)"
"(4, 1, 18)"
"(27, 4, 10)"
"(34, 3, 4)"
"(8, 19, 36)"
"(19, 30, 25)"
"(28, 42, 40)"
"(42, 12, 31)"
