"(41, 52, 49)"
"(38, 10, 2)"
"(34, 38, 25)"
"(25, 6, 44)"
"(45, 30, 29)"
"(43, 6, 30)"
"(22, 19, 10)"
"(31, 10, 39)"
"(29, 7, 32)"
"(44, 32, 14)"
"(11, 1, 25)"
"(18, 25, 30)"
"(14, 4, 7)"
"(42, 46, 17)"
"(39, 9, 30)"
"(54, 33, 40)"
"(32, 12, 27)"
"(3, 18, 22)"
"(40, 10, 14)"
"(9, 56, 24)"
"(23, 45, 13)"
"(51, 45, 26)"
"(54, 7, 31)"
"(54, 7, 15)"
"(52, 15, 40)"
"(36, 43, 40)"
"(6, 48, 29)"
"(24, 17, 47)"
"(32, 19, 1)"
"(18, 12, 55)"
"(39, 19, 56)"
"(50, 13, 10)"
"(33, 16, 36)"
"(2, 46, 53)"
"(7, 8, 12)"
"(13, 2, 44)"
"(43, 0, 55)"
"(30, 4, 21)"
"(18, 9, 40)"
"(20, 17, 53)"
"(8, 54, 20)"
"(21, 11, 21)"
"(35, 19, 25)"
"(50, 4, 12)"
"(8, 27, 43)"
"(20, 9, 30)"
"(42, 21, 55)"
"(17, 32, 31)"
"(33, 11, 8)"
"(37, 48, 50)"
"(12, 25, 52)"
"(34, 27, 6)"
"(11, 24, 1)"
"(33, 22, 5)"
"(55, 16, 37)"
"(29, 50, 25)"
"(43, 5, 39)"
"(6, 9, 10)"
"(8, 27, 14)"
"(47, 0, 31)"
"(47, 12, 11)"
"(15, 56, 53)"
"(43, 20, 23)"
"(10, 31, 37)"
"(53, 32, 40)"
"(43, 24, 54)"
"(35, 27, 55)"
"(21, 48, 52)"
"(47, 8, 24)"
"(42, 9, 39)"
"(53, 42, 49)"
"(37, 36, 15)"
"(9, 43, 55)"
"(29, 18, 45)"
"(5, 31, 31)"
"(40, 42, 31)"
"(12, 46, 18)"
"(20, 23, 40)"
"(50, 45, 44)"
"(17, 4, 50)"
"(43, 24, 2)"
"(42, 7, 50)"
"(51, 54, 43)"
"(25, 13, 17)"
"(12, 7, 34)"
"(33, 37, 48)"
"(38, 37, 39)"
"(19, 37, 38)"
"(33, 53, 26)"
"(20, 47, 13)"
"(45, 3, 54)"
"(43, 16, 21)"
"(12, 17, 41)"
"(45, 21, 47)"
"(52, 54, 36)"
"(51, 12, 5)"
"(27, 34, 5)"
"(41, 0, 30)"
"(4, 55, 11)"
"(37, 50, 5)"
