"(5,)"
"(4,)"
"(16,)"
"(12,)"
"(17,)"
"(21,)"
"(30,)"
"(25,)"
"(6,)"
"(4,)"
"(9,)"
"(10,)"
"(14,)"
"(8,)"
"(11,)"
"(29,)"
"(12,)"
"(14,)"
"(2,)"
"(27,)"
"(2,)"
"(27,)"
"(21,)"
"(7,)"
"(33,)"
"(22,)"
"(17,)"
"(20,)"
"(19,)"
"(14,)"
"(26,)"
"(10,)"
"(16,)"
"(27,)"
"(7,)"
"(27,)"
"(24,)"
"(14,)"
"(5,)"
"(32,)"
"(6,)"
"(26,)"
"(25,)"
"(0,)"
"(0,)"
"(17,)"
"(9,)"
"(11,)"
"(24,)"
"(23,)"
"(24,)"
"(17,)"
"(0,)"
"(12,)"
"(27,)"
"(4,)"
"(28,)"
"(32,)"
"(8,)"
"(8,)"
"(18,)"
"(7,)"
"(9,)"
"(32,)"
"(21,)"
"(12,)"
"(5,)"
"(25,)"
"(27,)"
"(0,)"
"(21,)"
"(19,)"
"(2,)"
"(21,)"
"(18,)"
"(17,)"
"(32,)"
"(23,)"
"(3,)"
"(32,)"
"(22,)"
"(24,)"
"(8,)"
"(10,)"
"(7,)"
"(12,)"
"(29,)"
"(14,)"
"(7,)"
"(17,)"
"(8,)"
"(7,)"
"(6,)"
"(15,)"
"(17,)"
"(18,)"
"(16,)"
"(7,)"
"(30,)"
"(32,)"
