"(127, 177)"
"(65, 119)"
"(25, 111)"
"(83, 137)"
"(66, 24)"
"(82, 22)"
"(28, 157)"
"(119, 117)"
"(73, 171)"
"(166, 151)"
"(66, 47)"
"(98, 47)"
"(64, 45)"
"(162, 145)"
"(114, 117)"
"(124, 131)"
"(6, 25)"
"(105, 177)"
"(122, 50)"
"(9, 65)"
"(27, 80)"
"(102, 102)"
"(152, 159)"
"(178, 72)"
"(9, 7)"
"(31, 64)"
"(131, 138)"
"(85, 121)"
"(181, 141)"
"(146, 29)"
"(166, 100)"
"(104, 64)"
"(176, 103)"
"(138, 14)"
"(107, 60)"
"(109, 76)"
"(77, 96)"
"(139, 75)"
"(122, 155)"
"(112, 65)"
"(41, 106)"
"(185, 111)"
"(48, 7)"
"(42, 37)"
"(169, 119)"
"(134, 165)"
"(41, 84)"
"(6, 44)"
"(152, 119)"
"(100, 160)"
"(22, 152)"
"(122, 92)"
"(150, 50)"
"(154, 61)"
"(172, 18)"
"(80, 131)"
"(77, 18)"
"(165, 138)"
"(168, 132)"
"(122, 83)"
"(2, 12)"
"(80, 0)"
"(76, 176)"
"(93, 40)"
"(109, 27)"
"(46, 9)"
"(167, 59)"
"(130, 33)"
"(57, 12)"
"(28, 54)"
"(60, 119)"
"(66, 100)"
"(70, 148)"
"(145, 96)"
"(111, 170)"
"(7, 137)"
"(30, 98)"
"(143, 19)"
"(12, 55)"
"(124, 171)"
"(111, 138)"
"(103, 115)"
"(108, 72)"
"(81, 2)"
"(39, 73)"
"(97, 29)"
"(150, 43)"
"(116, 113)"
"(80, 7)"
"(111, 101)"
"(140, 55)"
"(21, 121)"
"(120, 33)"
"(17, 10)"
"(138, 136)"
"(37, 23)"
"(78, 20)"
"(173, 51)"
"(70, 66)"
"(17, 111)"
