"(40, 144)"
"(15, 122)"
"(53, 3)"
"(82, 96)"
"(106, 115)"
"(106, 58)"
"(6, 70)"
"(75, 100)"
"(107, 72)"
"(5, 16)"
"(127, 9)"
"(137, 87)"
"(18, 107)"
"(7, 66)"
"(35, 11)"
"(22, 114)"
"(138, 67)"
"(21, 67)"
"(41, 21)"
"(129, 47)"
"(130, 10)"
"(68, 60)"
"(124, 59)"
"(111, 106)"
"(130, 71)"
"(98, 13)"
"(94, 1)"
"(141, 145)"
"(33, 109)"
"(99, 145)"
"(39, 100)"
"(42, 68)"
"(49, 116)"
"(55, 50)"
"(66, 117)"
"(77, 128)"
"(61, 124)"
"(135, 55)"
"(0, 116)"
"(11, 122)"
"(98, 119)"
"(50, 13)"
"(48, 26)"
"(72, 119)"
"(109, 113)"
"(88, 56)"
"(118, 147)"
"(39, 45)"
"(103, 33)"
"(129, 15)"
"(111, 58)"
"(3, 40)"
"(25, 88)"
"(4, 130)"
"(44, 117)"
"(8, 146)"
"(56, 134)"
"(72, 24)"
"(109, 17)"
"(55, 42)"
"(38, 47)"
"(134, 89)"
"(77, 14)"
"(117, 76)"
"(42, 146)"
"(136, 2)"
"(74, 43)"
"(23, 75)"
"(99, 93)"
"(64, 123)"
"(41, 52)"
"(21, 13)"
"(56, 69)"
"(26, 119)"
"(106, 134)"
"(47, 108)"
"(54, 41)"
"(61, 66)"
"(26, 55)"
"(54, 4)"
"(89, 79)"
"(110, 119)"
"(3, 93)"
"(140, 23)"
"(41, 104)"
"(69, 37)"
"(104, 80)"
"(125, 28)"
"(35, 55)"
"(113, 114)"
"(101, 108)"
"(99, 86)"
"(54, 140)"
"(30, 106)"
"(21, 112)"
"(87, 49)"
"(115, 143)"
"(66, 72)"
"(90, 143)"
"(114, 29)"
