"(16, 44)"
"(55, 2)"
"(35, 95)"
"(38, 32)"
"(32, 14)"
"(66, 52)"
"(0, 88)"
"(100, 28)"
"(99, 33)"
"(80, 110)"
"(93, 93)"
"(97, 16)"
"(100, 129)"
"(81, 66)"
"(130, 107)"
"(11, 19)"
"(39, 41)"
"(54, 28)"
"(55, 107)"
"(17, 14)"
"(32, 88)"
"(58, 32)"
"(29, 92)"
"(118, 38)"
"(112, 69)"
"(76, 78)"
"(121, 82)"
"(41, 28)"
"(97, 8)"
"(88, 30)"
"(106, 113)"
"(33, 52)"
"(17, 92)"
"(11, 30)"
"(34, 21)"
"(66, 96)"
"(33, 60)"
"(31, 92)"
"(87, 133)"
"(96, 89)"
"(124, 28)"
"(93, 116)"
"(135, 105)"
"(89, 121)"
"(98, 83)"
"(26, 49)"
"(9, 101)"
"(54, 32)"
"(125, 3)"
"(44, 14)"
"(62, 46)"
"(13, 15)"
"(35, 102)"
"(92, 129)"
"(132, 17)"
"(101, 90)"
"(81, 37)"
"(9, 129)"
"(74, 86)"
"(10, 68)"
"(110, 96)"
"(7, 123)"
"(116, 10)"
"(96, 109)"
"(34, 29)"
"(19, 3)"
"(58, 99)"
"(7, 134)"
"(66, 89)"
"(110, 93)"
"(39, 61)"
"(60, 99)"
"(101, 53)"
"(125, 135)"
"(66, 75)"
"(37, 32)"
"(36, 97)"
"(26, 76)"
"(110, 67)"
"(57, 125)"
"(100, 121)"
"(74, 73)"
"(108, 21)"
"(76, 11)"
"(27, 58)"
"(133, 31)"
"(63, 58)"
"(11, 110)"
"(95, 88)"
"(54, 124)"
"(6, 51)"
"(65, 79)"
"(3, 97)"
"(134, 95)"
"(61, 126)"
"(118, 23)"
"(4, 110)"
"(19, 4)"
"(42, 33)"
"(14, 128)"
