"(51, 54)"
"(104, 252)"
"(200, 185)"
"(197, 238)"
"(36, 53)"
"(250, 214)"
"(56, 47)"
"(69, 44)"
"(20, 69)"
"(145, 42)"
"(247, 105)"
"(83, 101)"
"(40, 218)"
"(94, 212)"
"(141, 195)"
"(161, 234)"
"(189, 140)"
"(181, 242)"
"(234, 177)"
"(158, 232)"
"(214, 171)"
"(203, 154)"
"(134, 42)"
"(142, 108)"
"(123, 231)"
"(62, 101)"
"(154, 137)"
"(33, 137)"
"(219, 94)"
"(154, 175)"
"(60, 176)"
"(48, 118)"
"(168, 235)"
"(90, 215)"
"(59, 29)"
"(218, 249)"
"(108, 251)"
"(172, 80)"
"(87, 2)"
"(127, 28)"
"(135, 200)"
"(158, 197)"
"(163, 54)"
"(22, 126)"
"(220, 244)"
"(170, 41)"
"(16, 177)"
"(127, 193)"
"(242, 249)"
"(36, 67)"
"(193, 12)"
"(86, 102)"
"(240, 198)"
"(93, 210)"
"(112, 41)"
"(219, 155)"
"(210, 45)"
"(100, 36)"
"(158, 54)"
"(115, 49)"
"(73, 154)"
"(111, 181)"
"(97, 134)"
"(168, 196)"
"(207, 250)"
"(141, 135)"
"(70, 91)"
"(156, 148)"
"(74, 97)"
"(251, 107)"
"(13, 170)"
"(2, 221)"
"(234, 235)"
"(136, 162)"
"(230, 64)"
"(27, 95)"
"(38, 112)"
"(196, 175)"
"(152, 161)"
"(20, 107)"
"(40, 156)"
"(91, 92)"
"(189, 74)"
"(42, 56)"
"(36, 50)"
"(174, 236)"
"(4, 220)"
"(180, 160)"
"(50, 55)"
"(88, 34)"
"(238, 98)"
"(235, 62)"
"(232, 23)"
"(214, 157)"
"(134, 101)"
"(123, 95)"
"(217, 138)"
"(145, 8)"
"(211, 33)"
"(43, 11)"
