"(192, 108)"
"(323, 309)"
"(104, 299)"
"(122, 276)"
"(63, 58)"
"(281, 10)"
"(69, 342)"
"(114, 263)"
"(54, 321)"
"(319, 83)"
"(36, 3)"
"(254, 160)"
"(297, 132)"
"(12, 86)"
"(190, 238)"
"(265, 290)"
"(236, 168)"
"(75, 121)"
"(328, 108)"
"(170, 144)"
"(336, 249)"
"(124, 177)"
"(339, 132)"
"(78, 311)"
"(246, 308)"
"(143, 160)"
"(299, 61)"
"(84, 22)"
"(49, 307)"
"(71, 298)"
"(214, 17)"
"(95, 47)"
"(190, 131)"
"(199, 27)"
"(253, 27)"
"(111, 168)"
"(195, 335)"
"(305, 229)"
"(46, 113)"
"(59, 279)"
"(161, 44)"
"(159, 125)"
"(55, 188)"
"(118, 329)"
"(47, 120)"
"(217, 165)"
"(154, 101)"
"(191, 204)"
"(262, 333)"
"(50, 185)"
"(61, 82)"
"(305, 18)"
"(146, 317)"
"(184, 325)"
"(334, 86)"
"(216, 69)"
"(289, 226)"
"(240, 318)"
"(239, 128)"
"(301, 149)"
"(32, 241)"
"(91, 22)"
"(250, 271)"
"(249, 46)"
"(162, 255)"
"(209, 300)"
"(309, 28)"
"(145, 217)"
"(205, 132)"
"(267, 252)"
"(204, 226)"
"(69, 79)"
"(124, 55)"
"(85, 94)"
"(97, 27)"
"(294, 265)"
"(53, 249)"
"(68, 178)"
"(342, 11)"
"(133, 104)"
"(180, 267)"
"(136, 276)"
"(82, 258)"
"(6, 264)"
"(217, 212)"
"(32, 19)"
"(332, 21)"
"(190, 324)"
"(90, 29)"
"(15, 10)"
"(225, 136)"
"(200, 21)"
"(4, 138)"
"(254, 143)"
"(62, 147)"
"(1, 160)"
"(169, 325)"
"(21, 311)"
"(86, 260)"
"(221, 39)"
