"(183, 26)"
"(85, 148)"
"(154, 23)"
"(177, 110)"
"(75, 150)"
"(72, 135)"
"(64, 0)"
"(11, 88)"
"(127, 38)"
"(26, 13)"
"(92, 49)"
"(77, 74)"
"(19, 104)"
"(58, 34)"
"(173, 159)"
"(171, 7)"
"(181, 72)"
"(53, 171)"
"(115, 105)"
"(140, 15)"
"(168, 139)"
"(24, 91)"
"(163, 176)"
"(76, 127)"
"(139, 113)"
"(115, 115)"
"(20, 132)"
"(15, 159)"
"(63, 160)"
"(54, 176)"
"(59, 81)"
"(55, 89)"
"(152, 169)"
"(55, 138)"
"(28, 68)"
"(101, 104)"
"(46, 110)"
"(35, 110)"
"(161, 144)"
"(24, 99)"
"(11, 99)"
"(160, 23)"
"(139, 149)"
"(75, 168)"
"(44, 75)"
"(65, 106)"
"(92, 11)"
"(88, 163)"
"(66, 161)"
"(11, 42)"
"(131, 32)"
"(39, 30)"
"(127, 157)"
"(111, 48)"
"(16, 119)"
"(101, 46)"
"(40, 139)"
"(64, 126)"
"(22, 158)"
"(99, 86)"
"(0, 3)"
"(76, 153)"
"(69, 139)"
"(149, 136)"
"(39, 42)"
"(158, 89)"
"(178, 31)"
"(30, 63)"
"(8, 4)"
"(33, 23)"
"(178, 111)"
"(156, 119)"
"(105, 152)"
"(90, 100)"
"(141, 90)"
"(108, 78)"
"(96, 158)"
"(39, 77)"
"(79, 173)"
"(80, 167)"
"(10, 178)"
"(143, 141)"
"(147, 133)"
"(101, 130)"
"(177, 110)"
"(184, 184)"
"(25, 130)"
"(70, 46)"
"(178, 163)"
"(133, 138)"
"(104, 174)"
"(85, 140)"
"(37, 100)"
"(177, 138)"
"(51, 43)"
"(166, 15)"
"(103, 72)"
"(142, 5)"
"(163, 61)"
"(15, 134)"
