"(28, 6, 32, 11)"
"(17, 37, 22, 4)"
"(27, 32, 23, 11)"
"(9, 4, 3, 19)"
"(18, 30, 22, 47)"
"(41, 46, 37, 42)"
"(33, 10, 32, 15)"
"(18, 36, 39, 11)"
"(26, 13, 24, 33)"
"(2, 29, 20, 43)"
"(5, 16, 41, 25)"
"(37, 12, 13, 38)"
"(43, 8, 45, 42)"
"(10, 29, 31, 35)"
"(44, 43, 5, 8)"
"(8, 48, 1, 40)"
"(43, 23, 14, 21)"
"(48, 16, 0, 46)"
"(19, 9, 8, 43)"
"(31, 20, 11, 28)"
"(2, 20, 18, 40)"
"(18, 22, 27, 20)"
"(20, 11, 24, 44)"
"(38, 28, 40, 32)"
"(43, 47, 38, 22)"
"(40, 18, 12, 6)"
"(30, 13, 18, 0)"
"(43, 16, 18, 26)"
"(21, 35, 5, 12)"
"(18, 31, 33, 9)"
"(44, 45, 25, 13)"
"(1, 29, 31, 23)"
"(44, 41, 37, 28)"
"(35, 5, 15, 20)"
"(43, 38, 1, 20)"
"(9, 40, 47, 40)"
"(45, 39, 7, 1)"
"(11, 19, 37, 37)"
"(47, 20, 45, 43)"
"(47, 11, 15, 49)"
"(11, 20, 43, 18)"
"(39, 9, 33, 43)"
"(29, 12, 19, 45)"
"(34, 31, 21, 21)"
"(13, 48, 36, 32)"
"(18, 5, 5, 8)"
"(8, 4, 19, 11)"
"(39, 16, 18, 18)"
"(39, 11, 28, 33)"
"(5, 47, 15, 12)"
"(2, 34, 36, 39)"
"(7, 42, 43, 45)"
"(43, 0, 43, 28)"
"(47, 45, 33, 27)"
"(3, 31, 16, 24)"
"(1, 33, 24, 1)"
"(39, 45, 4, 27)"
"(21, 43, 49, 47)"
"(41, 26, 43, 8)"
"(5, 12, 42, 8)"
"(27, 27, 21, 15)"
"(33, 49, 37, 14)"
"(22, 27, 33, 4)"
"(7, 15, 22, 34)"
"(25, 3, 34, 6)"
"(47, 19, 40, 37)"
"(36, 21, 13, 16)"
"(45, 3, 7, 45)"
"(42, 25, 35, 31)"
"(46, 36, 47, 48)"
"(21, 17, 43, 34)"
"(38, 5, 2, 34)"
"(19, 43, 40, 39)"
"(26, 23, 8, 13)"
"(25, 31, 31, 36)"
"(39, 33, 1, 30)"
"(38, 12, 25, 16)"
"(23, 11, 38, 12)"
"(41, 17, 17, 3)"
"(49, 2, 36, 49)"
"(41, 16, 2, 18)"
"(27, 37, 20, 32)"
"(7, 14, 14, 1)"
"(7, 20, 25, 23)"
"(26, 12, 6, 37)"
"(6, 22, 24, 0)"
"(6, 37, 6, 35)"
"(20, 31, 16, 16)"
"(42, 46, 11, 1)"
"(9, 23, 27, 34)"
"(4, 45, 7, 27)"
"(45, 31, 41, 0)"
"(48, 46, 34, 22)"
"(29, 21, 25, 38)"
"(24, 12, 34, 29)"
"(14, 38, 10, 42)"
"(35, 32, 28, 33)"
"(10, 7, 5, 42)"
"(44, 36, 9, 12)"
"(2, 8, 17, 25)"
