"(20, 9, 31, 1)"
"(6, 33, 30, 20)"
"(33, 10, 30, 31)"
"(29, 1, 10, 6)"
"(23, 4, 3, 1)"
"(5, 20, 30, 19)"
"(29, 24, 25, 22)"
"(5, 2, 26, 21)"
"(29, 16, 28, 19)"
"(3, 3, 26, 17)"
"(9, 17, 33, 27)"
"(14, 20, 24, 11)"
"(6, 19, 14, 18)"
"(13, 0, 25, 10)"
"(23, 31, 18, 10)"
"(21, 25, 27, 27)"
"(5, 21, 2, 28)"
"(35, 3, 16, 1)"
"(10, 6, 21, 11)"
"(16, 33, 25, 11)"
"(6, 5, 3, 15)"
"(31, 34, 24, 3)"
"(26, 5, 13, 9)"
"(35, 20, 26, 31)"
"(16, 26, 2, 20)"
"(29, 23, 34, 25)"
"(23, 23, 1, 30)"
"(29, 3, 31, 13)"
"(35, 6, 5, 9)"
"(15, 2, 6, 16)"
"(33, 16, 23, 30)"
"(8, 23, 2, 33)"
"(15, 35, 25, 23)"
"(28, 35, 22, 30)"
"(13, 9, 10, 19)"
"(30, 0, 26, 35)"
"(29, 20, 4, 4)"
"(25, 29, 15, 27)"
"(25, 35, 22, 10)"
"(28, 3, 15, 33)"
"(12, 32, 31, 9)"
"(31, 13, 4, 0)"
"(17, 10, 1, 20)"
"(6, 24, 3, 30)"
"(10, 14, 0, 13)"
"(33, 33, 17, 2)"
"(14, 29, 4, 4)"
"(22, 3, 11, 29)"
"(33, 35, 31, 13)"
"(8, 35, 34, 31)"
"(17, 17, 15, 25)"
"(26, 0, 19, 10)"
"(4, 17, 1, 3)"
"(33, 18, 33, 11)"
"(26, 23, 27, 13)"
"(11, 13, 26, 17)"
"(16, 13, 1, 22)"
"(31, 17, 30, 8)"
"(26, 11, 16, 11)"
"(1, 4, 5, 18)"
"(8, 16, 23, 30)"
"(18, 16, 32, 19)"
"(7, 16, 20, 13)"
"(15, 27, 22, 1)"
"(25, 1, 26, 6)"
"(11, 32, 15, 16)"
"(3, 5, 7, 9)"
"(6, 30, 19, 16)"
"(0, 19, 24, 17)"
"(17, 14, 19, 12)"
"(18, 24, 21, 13)"
"(13, 20, 34, 7)"
"(4, 31, 20, 9)"
"(7, 3, 6, 12)"
"(30, 9, 33, 7)"
"(16, 32, 35, 29)"
"(1, 27, 15, 11)"
"(28, 19, 17, 1)"
"(32, 32, 0, 28)"
"(22, 0, 33, 33)"
"(17, 18, 28, 28)"
"(30, 5, 16, 4)"
"(32, 30, 5, 1)"
"(25, 22, 27, 21)"
"(30, 5, 10, 29)"
"(0, 20, 18, 7)"
"(16, 28, 2, 35)"
"(4, 19, 32, 15)"
"(10, 13, 3, 19)"
"(29, 31, 33, 34)"
"(15, 25, 6, 8)"
"(6, 12, 26, 15)"
"(19, 16, 32, 22)"
"(18, 5, 11, 1)"
"(4, 31, 14, 30)"
"(15, 30, 5, 15)"
"(10, 10, 20, 9)"
"(23, 29, 1, 26)"
"(29, 10, 6, 17)"
"(33, 25, 29, 11)"
