"(210, 68)"
"(86, 13)"
"(29, 105)"
"(132, 265)"
"(83, 264)"
"(227, 38)"
"(197, 39)"
"(217, 76)"
"(348, 234)"
"(185, 325)"
"(379, 186)"
"(288, 158)"
"(271, 345)"
"(342, 66)"
"(299, 192)"
"(97, 88)"
"(159, 210)"
"(12, 38)"
"(260, 367)"
"(174, 313)"
"(328, 57)"
"(251, 171)"
"(356, 368)"
"(103, 61)"
"(66, 266)"
"(151, 238)"
"(364, 315)"
"(18, 232)"
"(152, 292)"
"(333, 220)"
"(163, 334)"
"(1, 147)"
"(375, 205)"
"(366, 52)"
"(83, 258)"
"(279, 248)"
"(236, 125)"
"(184, 88)"
"(369, 339)"
"(309, 292)"
"(55, 136)"
"(318, 198)"
"(17, 374)"
"(22, 123)"
"(320, 100)"
"(91, 138)"
"(356, 124)"
"(90, 367)"
"(318, 184)"
"(279, 30)"
"(155, 24)"
"(31, 347)"
"(292, 68)"
"(267, 377)"
"(127, 319)"
"(385, 351)"
"(290, 205)"
"(11, 379)"
"(36, 160)"
"(212, 388)"
"(214, 101)"
"(252, 83)"
"(75, 160)"
"(281, 155)"
"(175, 53)"
"(278, 138)"
"(317, 362)"
"(13, 212)"
"(336, 57)"
"(38, 261)"
"(302, 208)"
"(54, 82)"
"(281, 340)"
"(121, 235)"
"(168, 145)"
"(151, 137)"
"(373, 141)"
"(354, 212)"
"(155, 243)"
"(3, 105)"
"(13, 69)"
"(219, 128)"
"(309, 99)"
"(277, 343)"
"(127, 320)"
"(12, 330)"
"(311, 363)"
"(312, 138)"
"(195, 135)"
"(257, 367)"
"(232, 152)"
"(128, 88)"
"(338, 91)"
"(115, 97)"
"(12, 284)"
"(123, 256)"
"(213, 28)"
"(257, 70)"
"(302, 266)"
"(347, 189)"
